id,Nama Restoran,Preferensi Makanan,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Variasi Makanan
95,"Tanoshii Sushi, Pogung Dalangan",Japanese,58000,4.7,Santai,"Japanese, Rice, Korean, Snacks, Fast food"
96,"Pizza Hut, Sudirman",Western,119000,4.7,Formal,"Pizza & pasta, Fast food, Western"
97,"Roaster and Bear, P. Mangkubumi",Western,87000,4.7,Santai,"Rice, Chicken & duck, Beverages, Snacks, Sweets, Western, Coffee, Pizza & pasta"
98,"Essen Choco Pot, Gedong Kuning",Western,35000,4.7,Santai,"Rice, Western, Beverages"
99,"Zona Seafood, Kotabaru",Chinese,44000,4.8,Santai,"Seafood, Chinese"
100,Burgerax Demangan 2,Western,38000,4.2,Santai,"Snacks, Fast food, Western"
101,"Makan Burger & Toast, Mantrirejon",Western,21000,4.6,Santai,Western
102,"Reisban Coffee Shop, Menukan",Western,25000,4.7,Santai,"Western, Coffee, Beverages"
103,"Pupa Meatshop, Banguntapan",Western,47000,4.8,Santai,"Western, Japanese, Korean"
104,"Pupa Meatshop, Prawirotaman",Western,47000,4.9,Santai,"Western, Japanese, Korean"
105,"Pepper Lunch, Hartono Mall",Japanese,92000,4.9,Formal,"Western, Japanese, Rice, Chicken & duck"
106,"King Star Kebab, Nogorojo",Western,23000,4.5,Santai,"Western, Snacks"
107,"Yamie Panda, Kridosono",Chinese,28000,4.7,Santai,"Bakmie, Chinese"
108,"Warung Makan Bu Sri, Umbulharjo",Indonesia,13000,4.4,Santai,"Aneka nasi, Ayam & bebek, Bakso & soto"
109,"Rumah Makan Terang Mulyo, Katamso",Chinese,42000,4.8,Santai,"Aneka nasi, Bakmie, Chinese"
110,SGPC Sop Penyetan Bu Wiryo Cendana,Indonesia,18000,4.8,Santai,"Aneka nasi, Bakso & soto"
111,"Berkah Abadi, Pasar Kranggan",Chinese,28000,4.2,Santai,"Ayam & bebek, Chinese"
112,"Mie Ayam Dan Bakso Babaran, Umbulharjo",Indonesia,17000,4.5,Santai,"Bakmie, Bakso & soto"
113,Yamie Singkawang,Chinese,45000,4.7,Santai,"Bakmie, Chinese"
114,"Easy Peasy Kitchen, Prawirotaman",Western,43000,4.8,Santai,"Beverages, Western"
115,"Kiwae Ayam Kekinian, Nologaten",Western,30000,4.8,Santai,"Chicken & duck, Korean, Western"
116,"Pepper Lunch, Plaza Ambarrukmo",Japanese,92000,4.6,Formal,"Chicken & duck, Rice, Japanese"
117,Makmur Spesial B2 Food,Chinese,31000,4.6,Santai,"Chinese, Aneka nasi, Bakmie"
118,"Rice&Steak, Ngipik, Potorono, Banguntapan, Bantul",Chinese,27000,4.5,Santai,"Fast food, Chinese, Western"
119,"Japanese Town Snack, Matrijeron",Japanese,27000,4.4,Santai,"Fast food, Japanese, Snacks"
120,"Seblak Asgar, Lowanu",Indonesia,33000,4.5,Santai,"Jajanan, Bakso & soto"
121,"Tora Tora, Kaliurang",Japanese,28000,4.6,Santai,"Japanese, Rice"
122,"Jajan Fast Food, Sisingamangaraja",Western,18000,4.4,Santai,"Rice, Fast food, Western"
123,"Sate Taichan Hitz, Gejayan",Japanese,32000,4.6,Santai,"Snacks, Japanese, Sate"
124,"Kebab Turki Babarafi, Babarsari",Western,23000,4.2,Santai,"Snacks, Western"
125,"Boom Burger, Seturan",Western,37000,4.7,Santai,Western
126,"Dang! Burger, Glagah Sari",Western,29000,4.6,Santai,Western
127,"Burger Bangor Express, Taman Siswa",Western,40000,4.7,Santai,"Western, Fast food, Chicken & duck"
128,"Yamie Panda, Timoho",Chinese,28000,4.7,Santai,"Bakmie, Bakso & soto, Chinese"
129,"Cak No Chinese Food, Jogoyudan",Chinese,25000,4.7,Santai,"Aneka nasi, Bakmie, Chinese"
130,Warung Sop Iga Dan Soto Betawi Bu Tya,Indonesia,28000,4.5,Santai,"Aneka nasi, Bakso & soto"
131,"Bakso dan Mie Ayam Muncul, Jl. Nyi Wiji Adhisoro",Indonesia,14000,4.5,Santai,Bakso & soto
132,"Sop Ayam Pak Min Klaten, Taman Siswa",Indonesia,20000,4.7,Santai,"Bakso & soto, Ayam & bebek, Aneka nasi"
133,"Warung Makan Bu Week, Tegalturi",Indonesia,15000,4.3,Santai,"Bakso & soto, Minuman"
134,"DF HEALTHY KITCHEN (DF FIT CLUB), Yk",Western,76000,4.9,Santai,"Beverages, Rice, Western"
135,"Ono Dimsum, Baciro",Japanese,17000,4.6,Santai,"Chinese, Jajanan"
136,"Sushiruma, Babarsari",Japanese,30000,4.6,Santai,Japanese
137,"Hokben Kitchen, Seturan Jogja",Japanese,49000,4.8,Formal,"Japanese, Fast food"
138,"Tom Sushi, Hartono Mall Jogja",Japanese,56000,4.7,Formal,"Japanese, Fast food"
139,"Banzai, Mergangsan",Japanese,45000,4.8,Formal,"Japanese, Fast food, Rice"
140,"RamenYa!, Plaza Ambarrukmo",Japanese,73000,4.6,Santai,"Japanese, Rice, Noodles"
141,"Pizza Hut, Adi Sucipto Jogja",Western,119000,4.7,Formal,"Pizza & pasta, Fast food, Western"
142,"Pizza Hut, Sultan Agung Yogyakarta",Western,119000,4.7,Formal,"Pizza & pasta, Fast food, Western"
143,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya",Western,29000,4.3,Santai,"Pizza & pasta, Snacks, Western"
144,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis",Chinese,120000,4.5,Santai,"Seafood, Bakmie, Chinese"
145,"Manalagi KQ 5, Ngampilan",Chinese,26000,4.7,Santai,"Seafood, Chinese"
146,"Lawson Shop, Tegalrejo",Japanese,44000,4.0,Formal,"Snacks, Beverages, Japanese, Coffee, Korean"
147,"Burgerax, Glagahsari",Western,38000,4.2,Santai,"Snacks, Western"
148,"Ini Baru Rajanya Steak, Banguntapan",Western,35000,4.6,Formal,Western
149,"Burger Bangor Express, Janti",Western,40000,4.7,Santai,"Western, Fast food, Chicken & duck"
150,"Black Kebab, Wirobrajan",Middle Eastern,23000,4.4,Santai,"Western, Middle Eastern, Snacks"
151,"Oz Resto & Cafe, Permata Demangan",Western,25000,4.7,Formal,"Western, Pizza & pasta, Rice, Chicken & duck"
152,"Twisted Noodle, Gondokusuman",Chinese,12000,4.6,Santai,"Bakmie, Chinese"
153,"Yamie Panda, Demangan",Chinese,28000,4.7,Santai,"Bakmie, Chinese"
154,"RM Makmur Chinese Food, Sosromenduran",Chinese,40000,4.7,Santai,"Aneka nasi, Bakmie, Chinese"
155,"Brongkos Koyor dan Sop Buntut Mbak Ris, Balaikota",Indonesia,30000,4.7,Santai,"Aneka nasi, Bakso & soto, Seafood"
156,Mie Ayam Goreng & Gado-gado Om Brewok,Indonesia,19000,4.6,Santai,"Ayam & bebek, Bakmie, Bakso & soto"
157,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40",Chinese,45000,4.5,Santai,"Ayam & bebek, Chinese, Aneka nasi"
158,"Soto Pak Zaenal, Dr. Supomo",Indonesia,15000,4.7,Santai,Bakso & soto
159,Bakso Lapangan Tembak Senayan - Cendana,Indonesia,42000,4.6,Santai,"Bakso & soto, Aneka nasi, Bakmie"
160,"Soto Ayam Jadul Mak Yem, Sorogenen",Indonesia,10000,4.6,Santai,"Bakso & soto, Minuman"
161,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen",Japanese,23000,4.7,Santai,"Chicken & duck, Japanese, Beverages"
162,"Funkydak, Komplek Colombo",Western,58000,4.7,Santai,"Chicken & duck, Western, Fast food"
163,RM. Gajah jaya,Chinese,25000,4.6,Santai,Chinese
164,"Hore Steak Jogja, Jl. Cenderawasih 32b",Western,77000,4.1,Formal,"Fast food, Beverages, Western"
165,"Ichiban Sushi, Hartono Mall",Japanese,52000,4.7,Formal,Japanese
